latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
35.5518,35.83139,341.23,1,1,2025-07-03,1157,Aqua,MODIS,85,6.1NRT,313.95,28.87,D
35.55336,35.84206,343.02,1,1,2025-07-03,1157,Aqua,MODIS,87,6.1NRT,314.09,32.16,D
35.81308,35.93059,327.59,4.68,1.98,2025-07-03,1741,Terra,MODIS,100,6.1NRT,293.88,238.6,N
35.81396,35.92216,322.33,4.68,1.98,2025-07-03,1741,Terra,MODIS,100,6.1NRT,293.8,183.7,N
35.8058,35.90122,311.14,4.03,1.86,2025-07-03,1919,Terra,MODIS,58,6.1NRT,291.97,71.4,N
35.80761,35.94381,313.94,4.05,1.87,2025-07-03,1919,Terra,MODIS,84,6.1NRT,292.09,90.42,N
35.81641,35.90516,321.06,4.03,1.86,2025-07-03,1919,Terra,MODIS,100,6.1NRT,292.49,133.23,N
35.81843,35.94651,317.52,4.05,1.87,2025-07-03,1919,Terra,MODIS,94,6.1NRT,292.11,111.43,N
35.82412,35.94094,308.22,4.05,1.87,2025-07-03,1919,Terra,MODIS,59,6.1NRT,291.7,63.63,N
35.81737,35.93713,305.42,4.25,1.91,2025-07-03,2356,Aqua,MODIS,64,6.1NRT,291.45,60,N
35.82347,35.94277,304.76,4.25,1.91,2025-07-03,2356,Aqua,MODIS,61,6.1NRT,291.62,52.77,N
35.80588,35.94888,300.17,4.5,1.95,2025-07-04,134,Aqua,MODIS,17,6.1NRT,290.11,37.29,N
35.80781,35.95683,301.91,4.5,1.95,2025-07-04,134,Aqua,MODIS,45,6.1NRT,290.23,48.16,N
35.81726,35.90474,300.7,4.47,1.94,2025-07-04,134,Aqua,MODIS,26,6.1NRT,290.62,37.33,N
35.81932,35.91318,308.43,4.47,1.94,2025-07-04,134,Aqua,MODIS,74,6.1NRT,291.1,80.88,N
35.8138,35.93977,347.56,1,1,2025-07-04,720,Terra,MODIS,92,6.1NRT,307.93,47.9,D
35.81536,35.92902,391.41,1,1,2025-07-04,720,Terra,MODIS,100,6.1NRT,314.32,195.46,D
35.81691,35.91829,348.35,1,1,2025-07-04,720,Terra,MODIS,93,6.1NRT,309.84,48.48,D
35.82411,35.93091,325.71,1,1,2025-07-04,720,Terra,MODIS,60,6.1NRT,304.77,14.21,D
35.82567,35.92017,342.78,1,1,2025-07-04,720,Terra,MODIS,89,6.1NRT,306.05,38.37,D
35.73483,35.98506,326.58,3.16,1.68,2025-07-04,1236,Aqua,MODIS,39,6.1NRT,294.97,74.22,D
35.7359,35.97612,347.51,3.16,1.68,2025-07-04,1236,Aqua,MODIS,94,6.1NRT,296.53,250.29,D
35.7474,35.9506,437.58,3.14,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,318.71,2910.08,D
35.7487,35.94225,408.62,3.14,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,315.1,1562.85,D
35.74954,35.98198,473.71,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,319.51,5637.09,D
35.7507,35.97417,491.83,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,327.61,7511.66,D
35.75993,35.91645,360.17,3.13,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,311.36,380.12,D
35.76146,35.90864,337.46,3.13,1.68,2025-07-04,1236,Aqua,MODIS,73,6.1NRT,309.31,138.61,D
35.76214,35.94835,463.2,3.14,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,328.56,4664.71,D
35.76348,35.94038,442.46,3.14,1.68,2025-07-04,1236,Aqua,MODIS,94,6.1NRT,325.93,3188.87,D
35.76432,35.97989,426.85,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,309.88,2360.32,D
35.76548,35.97189,442.02,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,314.44,3201.19,D
35.77836,35.94023,427.93,3.14,1.68,2025-07-04,1236,Aqua,MODIS,94,6.1NRT,319.87,2396.61,D
35.78032,35.97074,408.79,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,312.29,1586.96,D
35.79092,35.90479,384.69,3.13,1.68,2025-07-04,1236,Aqua,MODIS,94,6.1NRT,313.82,847.84,D
35.7932,35.93929,406.95,3.14,1.68,2025-07-04,1236,Aqua,MODIS,94,6.1NRT,318.92,1510.55,D
35.79521,35.97009,438.52,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,315.69,2994.13,D
35.80575,35.90415,338.05,3.13,1.68,2025-07-04,1236,Aqua,MODIS,89,6.1NRT,309.47,155.75,D
35.80714,35.93257,371.75,3.14,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,315.78,582.86,D
35.80793,35.93682,394.05,3.14,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,316.45,1100.39,D
35.80907,35.96452,377.54,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,306.79,700.65,D
35.81001,35.96822,384.32,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,305.16,862.45,D
35.81994,35.89855,326.96,3.13,1.68,2025-07-04,1236,Aqua,MODIS,70,6.1NRT,307.18,70.61,D
35.82051,35.90268,329.78,3.13,1.68,2025-07-04,1236,Aqua,MODIS,83,6.1NRT,307.5,92.61,D
35.82189,35.93018,416.24,3.14,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,316.28,1870.57,D
35.82266,35.93444,421.3,3.14,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,315.22,2091.42,D
35.82378,35.96116,374.65,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,304.27,646.39,D
35.82478,35.96595,353.56,3.16,1.68,2025-07-04,1236,Aqua,MODIS,97,6.1NRT,303.03,322.72,D
35.74956,35.95255,305.46,1.18,1.08,2025-07-04,1821,Terra,MODIS,15,6.1NRT,292.45,5.79,N
35.75167,35.96536,334.27,1.17,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,295.24,42.18,N
35.75384,35.97848,307.86,1.17,1.08,2025-07-04,1821,Terra,MODIS,33,6.1NRT,293.76,7.96,N
35.75693,35.93786,335.58,1.18,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,294.33,43.38,N
35.759,35.95041,371.28,1.18,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,298.16,149.51,N
35.76111,35.96326,313.41,1.17,1.08,2025-07-04,1821,Terra,MODIS,57,6.1NRT,293.96,11.51,N
35.76629,35.93525,323.27,1.18,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,294.21,22.87,N
35.76835,35.94776,319.71,1.18,1.08,2025-07-04,1821,Terra,MODIS,99,6.1NRT,295.51,17.73,N
35.77568,35.9327,308.41,1.18,1.08,2025-07-04,1821,Terra,MODIS,16,6.1NRT,294.72,6.66,N
35.78503,35.92994,318.27,1.18,1.08,2025-07-04,1821,Terra,MODIS,96,6.1NRT,295.6,16.14,N
35.78609,35.99643,312.63,1.17,1.08,2025-07-04,1821,Terra,MODIS,64,6.1NRT,294.91,11.8,N
35.78862,35.9235,312.5,1.18,1.08,2025-07-04,1821,Terra,MODIS,76,6.1NRT,294.58,11.58,N
35.79344,35.9816,314.01,1.17,1.08,2025-07-04,1821,Terra,MODIS,71,6.1NRT,293.86,10.6,N
35.79546,35.99401,332.35,1.17,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,295.85,36.83,N
35.79939,35.98764,327.18,1.17,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,294.78,29.52,N
35.80882,35.98562,326.95,1.17,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,294.01,30.12,N
35.81092,35.99818,306.77,1.17,1.08,2025-07-04,1821,Terra,MODIS,69,6.1NRT,292.32,8.29,N
35.81599,35.97001,320.07,1.17,1.08,2025-07-04,1821,Terra,MODIS,86,6.1NRT,294.38,19,N
35.81818,35.98315,319.47,1.17,1.08,2025-07-04,1821,Terra,MODIS,87,6.1NRT,292.79,19.35,N
35.82336,35.95549,311.3,1.17,1.08,2025-07-04,1821,Terra,MODIS,45,6.1NRT,294.03,10.58,N
35.82541,35.96786,315.33,1.17,1.08,2025-07-04,1821,Terra,MODIS,57,6.1NRT,293.28,14.66,N
35.82627,35.9141,325.01,1.18,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,295.39,27.07,N
35.8284,35.92688,317.11,1.18,1.08,2025-07-04,1821,Terra,MODIS,94,6.1NRT,295.08,16.72,N
35.74784,35.97064,310.92,1.09,1.04,2025-07-05,37,Aqua,MODIS,81,6.1NRT,291.66,11.08,N
35.75695,35.97252,304.35,1.09,1.04,2025-07-05,37,Aqua,MODIS,60,6.1NRT,292.36,6.88,N
35.75854,35.96061,306.64,1.09,1.04,2025-07-05,37,Aqua,MODIS,69,6.1NRT,291.81,8.45,N
35.78762,35.93633,309.86,1.1,1.04,2025-07-05,37,Aqua,MODIS,79,6.1NRT,292.76,10.3,N
35.7981,35.99952,303.4,1.09,1.04,2025-07-05,37,Aqua,MODIS,33,6.1NRT,290.88,5.81,N
35.81781,35.99188,306.36,1.09,1.04,2025-07-05,37,Aqua,MODIS,41,6.1NRT,290.11,7.45,N
35.8194,35.97978,343.28,1.09,1.04,2025-07-05,37,Aqua,MODIS,100,6.1NRT,293.38,55.45,N
35.82727,35.92001,325.55,1.1,1.05,2025-07-05,37,Aqua,MODIS,100,6.1NRT,294.75,26.12,N
35.82885,35.90796,313.02,1.1,1.05,2025-07-05,37,Aqua,MODIS,86,6.1NRT,293.45,12.42,N
35.8348,35.93401,304.41,1.1,1.04,2025-07-05,37,Aqua,MODIS,60,6.1NRT,292.8,6.13,N
35.8364,35.92189,306.39,1.1,1.05,2025-07-05,37,Aqua,MODIS,68,6.1NRT,293.84,7.61,N
35.73521,35.97212,364.16,3.11,1.67,2025-07-05,758,Terra,MODIS,100,6.1NRT,300.65,471.85,D
35.74969,35.97603,364.1,3.11,1.67,2025-07-05,758,Terra,MODIS,100,6.1NRT,305.18,467.01,D
