latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
35.88358,35.98188,367,0.73,0.76,2025-07-12,930,N,VIIRS,h,2.0NRT,309.74,32.33,D
35.8856,35.98828,346.1,0.73,0.76,2025-07-12,930,N,VIIRS,n,2.0NRT,308.05,35.16,D
35.87574,35.96945,343.28,0.49,0.49,2025-07-12,1110,N,VIIRS,n,2.0NRT,312.14,6.21,D
35.87618,35.97442,344.55,0.49,0.49,2025-07-12,1110,N,VIIRS,n,2.0NRT,317.89,13.6,D
35.87741,35.97197,354.63,0.49,0.49,2025-07-12,1110,N,VIIRS,n,2.0NRT,317.64,13.37,D
35.87751,35.93857,342.21,0.49,0.48,2025-07-12,1110,N,VIIRS,n,2.0NRT,307.87,4.38,D
35.878,35.94392,344.34,0.49,0.48,2025-07-12,1110,N,VIIRS,n,2.0NRT,308.41,7.32,D
35.87938,35.94136,356.65,0.49,0.49,2025-07-12,1110,N,VIIRS,n,2.0NRT,308.6,10.24,D
35.88017,35.96804,353.99,0.49,0.49,2025-07-12,1110,N,VIIRS,n,2.0NRT,312.54,6.21,D
35.88142,35.96549,341.31,0.49,0.49,2025-07-12,1110,N,VIIRS,n,2.0NRT,307.64,5.88,D
35.88185,35.97053,338.14,0.49,0.49,2025-07-12,1110,N,VIIRS,l,2.0NRT,312.99,5.88,D
35.8828,35.98184,342.37,0.49,0.49,2025-07-12,1110,N,VIIRS,l,2.0NRT,315.94,8.23,D
35.88509,35.95497,337.13,0.49,0.49,2025-07-12,1110,N,VIIRS,l,2.0NRT,307.97,3.42,D
35.88677,35.97478,355.36,0.49,0.49,2025-07-12,1110,N,VIIRS,n,2.0NRT,311.58,8.23,D
35.88729,35.98095,341.22,0.49,0.49,2025-07-12,1110,N,VIIRS,n,2.0NRT,308.37,8.23,D
35.88781,35.98727,355.34,0.49,0.49,2025-07-12,1110,N,VIIRS,n,2.0NRT,315.53,33.07,D
35.88884,35.99939,333.42,0.49,0.49,2025-07-12,1110,N,VIIRS,l,2.0NRT,307.11,5.07,D
35.88296,35.94567,308.87,0.39,0.36,2025-07-12,2329,N,VIIRS,n,2.0NRT,293.84,0.75,N
35.88364,35.94143,305.24,0.39,0.36,2025-07-12,2329,N,VIIRS,n,2.0NRT,293.96,0.75,N
35.88625,35.94644,306.58,0.39,0.36,2025-07-12,2329,N,VIIRS,n,2.0NRT,294.09,0.75,N
35.87389,35.94428,344.65,0.44,0.38,2025-07-13,1049,N,VIIRS,n,2.0NRT,311.11,5.62,D
35.88505,35.94673,337.01,0.44,0.38,2025-07-13,1049,N,VIIRS,n,2.0NRT,305.05,55.81,D
35.88792,35.94084,367,0.44,0.38,2025-07-13,1049,N,VIIRS,h,2.0NRT,335.63,40.71,D
35.88855,35.94583,337.59,0.44,0.38,2025-07-13,1049,N,VIIRS,n,2.0NRT,307.64,40.71,D
35.89136,35.9395,350.9,0.44,0.38,2025-07-13,1049,N,VIIRS,n,2.0NRT,306.8,40.71,D
35.892,35.94455,337.84,0.44,0.38,2025-07-13,1049,N,VIIRS,n,2.0NRT,304.7,40.71,D
35.56998,35.94561,311.42,0.48,0.4,2025-07-13,2312,N,VIIRS,n,2.0NRT,293.87,1.03,N
35.57367,35.94619,306.67,0.48,0.4,2025-07-13,2312,N,VIIRS,n,2.0NRT,293.89,1.03,N
